model,fold,train_years,val_years,train_size,val_size,val_loss,val_mae,val_rmse,val_mape,train_loss,train_mae,train_rmse,train_mape,overfitting_ratio_loss,overfitting_ratio_mae,overfitting_ratio_rmse,overfitting_ratio_mape
LSTM,1,2000-2005,2006-2011,666,666,0.3202576367628006,318.3243103027344,1087.9764404296875,5.379848003387451,0.2743044715552103,182.48709106445312,668.415283203125,5.625765323638916,1.167526125064794,1.744366181990947,1.6276953381675774,0.956287312729142
LSTM,2,2000-2011,2012-2016,1332,555,0.3206932793060938,320.23358154296875,1070.2249755859375,5.518749713897705,0.2655716800973529,187.2590789794922,628.1467895507812,5.01223087310791,1.2075582727365155,1.7101097756549328,1.7037816532522727,1.1010565661504974
LSTM,3,2000-2016,2017-2021,1887,555,0.584621824324131,271.8836975097656,909.58740234375,6.119643211364746,0.2438281443664583,187.75030517578125,616.4016723632812,4.563431262969971,2.3976798324211552,1.4481132121474556,1.475640711447774,1.3410179443312054
CNN-LSTM,1,2000-2005,2006-2011,666,666,0.29877100104377385,251.77377319335938,847.5743408203125,4.982868671417236,0.258211707785016,197.50262451171875,728.0111694335938,5.644069194793701,1.1570776693538893,1.2747869746835716,1.1642326057713388,0.8828503867411157
CNN-LSTM,2,2000-2011,2012-2016,1332,555,0.29055490179194343,177.1253662109375,506.68756103515625,4.807787895202637,0.22322391825062887,185.09764099121094,696.154296875,4.593313217163086,1.3016297898046814,0.9569293550280742,0.7278380142299632,1.0466928049317774
CNN-LSTM,3,2000-2016,2017-2021,1887,555,0.5781036797497008,302.5870361328125,1027.4119873046875,6.3555097579956055,0.23731493735212392,157.55104064941406,510.31549072265625,4.51724100112915,2.4360189299501207,1.9205651380376194,2.013287869920963,1.4069450260473046
